University,QS Ranking,THE,Shanghai Ranking
King Fahd University of Petroleum & Minerals,180,401–500,401–500
University of Calgary,182,201–250,201–300
Curtin University,183,201–250,201–300
École Normale Supérieure de Lyon,184,251–300,201–300
Technische Universität Wien,184,251–300,301–400
Tecnológico de Monterrey,184,601–800,N/A
University of Gothenburg,187,201–250,101–150
Universiti Teknologi Malaysia ,188,401–500,701–800
McMaster University,189,103,98
Universite libre de Bruxelles,189,201–250,101–150
Queensland University of Technology (QUT),189,199,301–400
Albert-Ludwigs-Universitaet Freiburg,192,128,101–150
Ecole des Ponts ParisTech,192,401–500,N/A
Wuhan University,194,164,101–150
University of Minnesota Twin Cities,195,85,44
Hokkaido University,196,351–400,201–300
Indian Institute of Technology Delhi (IITD),197,N/A,601–700
Universidad de los Andes,198,801–1000,N/A
Universidad Autónoma de Madrid,199,351–400,301–400
Waseda University,199,801–1000,701–800
Queen's University Belfast,202,301–400,301–400
King Saud University,203,401–500,101–150
University of Ottawa,203,177,201–300
Universität Hamburg,205,136,201–300
University of Otago,206,401–500,401–500
Vrije Universiteit Amsterdam,207,125,151–200
University of Aberdeen,208,201–250,201–300
Queen's University at Kingston,209,251–300,201–300
University of Twente,210,184,401–500
Chulalongkorn University,211,501–600,501–600
Loughborough University,212,251–300,601–700
Eberhard Karls Universität Tübingen,213,95,151–200
Keio University,214,301–400,301–400
Tel Aviv University,215,201–250,201–300
Tongji University,216,185,151–200
National Yang Ming Chiao Tung University,217,401–500,401–500
University of Sussex,218,201–250,201–300
Università di Padova,219,201–250,151–200
University of Lausanne,220,143,101–150
Universidade Estadual de Campinas (Unicamp),220,601–800,401–500
University of Pittsburgh,222,145,83
Radboud University ,222,140,101–150
University of Rochester,224,133,201–300
Indian Institute of Science,225,201–250,301–400
American University of Beirut (AUB),226,501–600,701–800
Universidad Nacional de Colombia,226,1201–1500,901–1000
National Cheng Kung University (NCKU),228,301–400,301–400
Friedrich-Alexander-Universität Erlangen-Nürnberg,229,193,201–300
Khalifa University of Science and Technology,230,251–300,801–900
Al-Farabi Kazakh National University,230,1201–1500,N/A
University of Göttingen,232,111,151–200
Deakin University,233,251–300,201–300
National Tsing Hua University,233,401–500,401–500
Heriot-Watt University,235,351–400,901–1000
Université de Paris-Cité,236,152,69
Dartmouth College,237,161,301–400
Universitas Indonesia,237,801–1000,N/A
Rheinische Friedrich-Wilhelms-Universität Bonn,239,91,67
Massey University,239,501–600,701–800
Victoria University of Wellington,241,401–500,401–500
La Trobe University,242,251–300,301–400
Griffith University,243,251–300,301–400
University of Surrey,244,251–300,301–400
University of Massachusetts Amherst,245,123,151–200
Technische Universität Dresden,246,161,201–300
Technical University of Darmstadt,246,251–300,401–500
University of Antwerp,248,161,201–300
Charles University,248,401–500,301–400
University of Waikato,250,401–500,801–900
The Hebrew University of Jerusalem,251,301–350,86
Politecnico di Torino,252,401–500,601–700
University of Porto,253,21,201–300
University of Macau,254,193,301–400
Case Western Reserve University,255,164,151–200
Harbin Institute of Technology,256,168,101–150
Maastricht University ,256,138,201–300
University of Canterbury,256,501–600,401–500
Vrije Universiteit Brussel (VUB),259,301–400,301–400
University of Virginia,260,166,201–300
Vanderbilt University,261,92,66
University of Warsaw ,262,401–500,401–500
Gadjah Mada University,263,1201–1500,N/A
University of Colorado Boulder,264,138,57
University of Witwatersrand,264,301–400,301–400
Ulsan National Institute of Science and Technology (UNIST),266,199,201–300
University of Lisbon ,266,401–500,201–300
"University of California, Irvine",268,92,65
University of Cologne,268,160,151–200
Linköping University,268,251–300,301–400
Indian Institute of Technology Kharagpur (IIT-KGP),271,N/A,601–700
Beijing Normal University ,272,177,151–200
University of Leicester,272,201–250,301–400
North Carolina State University,274,251–300,201–300
Huazhong University of Science and Technology,275,158,91
University of Milan,276,351–400,151–200
University of Strathclyde,276,501–600,501–600
University of Miami,278,201–250,301–400
Indian Institute of Technology Kanpur (IITK),278,N/A,901–1000
University of Navarra,280,501–600,501–600
University of Bergen,281,251–300,301–400
